CONTRACT_PK,USER_CODE,GIS_CD,CT_PY_AMT,CT_PY_PD,CT_CHNL_CD,INSU_DAY,INSU_YEAR,MGG_GRP
1,537789,11,18,5,1,1827,6,A95
2,1386093,37,13,5,1,3653,11,A95
3,1386093,37,13,5,1,1827,6,A95
4,210105,31,23,35,1,12784,36,A95
5,1195073,22,44,20,3,9497,27,A95
6,1195073,22,43,10,3,3652,10,A95
7,1769251,34,52,10,6,3653,11,A95
8,1769251,34,25,10,6,3653,11,A95
9,1669008,36,45,5,6,1826,5,A95
10,1669008,36,59,5,6,1827,6,A95
11,559590,31,35,10,6,3653,11,A95
12,1102289,26,34,10,1,3653,11,A95
13,896163,38,21,10,6,3652,10,A95
14,896163,38,19,10,6,3652,10,A95
15,1431575,26,32,5,6,1826,5,A95
16,1038574,11,30,16,1,5815,16,A95
17,1675273,31,23,10,6,3652,10,A95
18,151477,34,42,5,6,1827,6,A95
19,151477,34,31,5,6,1826,5,A95
20,1082263,22,36,20,2,10592,29,A95
21,1587068,38,33,5,6,1827,6,A95
22,1587068,38,44,5,6,1826,5,A95
23,38551,31,15,10,6,3652,10,A95
24,38551,31,40,10,6,3652,10,A95
25,1938807,23,31,10,6,3653,11,A95
26,1938807,23,24,10,6,3653,11,A95
27,59181,37,30,10,6,3653,11,A95
28,1226855,25,21,5,5,1827,6,A95
29,1109320,31,32,10,3,3652,10,A95
30,1504291,36,37,10,6,3653,11,A95
31,135790,25,43,5,6,1826,5,A95
32,135790,25,43,5,6,1826,5,A95
33,1548304,31,33,10,6,3652,10,A95
34,1142230,31,25,10,6,3653,11,A95
35,1673066,11,28,10,4,3652,10,A95
36,24968,26,22,10,6,3652,10,A95
37,1867744,33,13,10,6,3653,11,A95
38,1867744,33,18,10,6,3653,11,A95
39,1867744,33,24,10,6,3653,11,A95
40,1458719,31,22,5,6,1826,5,A95
41,1458719,31,26,5,6,1827,6,A95
42,513446,11,59,10,3,3652,10,A95
43,1370285,35,14,5,6,1826,5,A95
44,1370285,35,57,5,6,1826,5,A95
45,402436,37,52,5,6,1826,5,A95
46,1526666,31,4,10,6,3652,10,A95
47,1526666,31,5,10,6,3652,10,A95
48,1526666,31,19,10,6,3652,10,A95
49,1526666,31,21,10,6,3652,10,A95
50,1852155,31,20,5,6,1826,5,A95
51,1852155,31,20,5,6,1826,5,A95
52,251515,26,20,10,6,3652,10,A95
53,1856797,23,26,10,6,3652,10,A95
54,1677296,31,17,15,6,5479,16,A95
55,1795517,31,27,10,6,3652,10,A95
56,1277633,38,31,10,6,3653,11,A95
57,919142,31,49,5,6,1826,5,A95
58,919142,31,37,5,6,1827,6,A95
59,1811607,31,7,10,6,3652,10,A95
60,1811607,31,11,10,6,3652,10,A95
61,370509,33,44,5,6,1826,5,A95
62,1767961,38,58,20,6,7305,21,A95
63,429683,11,89,10,6,3653,11,A95
64,1789749,24,21,10,3,3652,10,A95
65,760046,37,27,10,6,3653,11,A95
66,760046,37,14,10,6,3653,11,A95
67,760046,23,23,10,6,3653,11,A95
68,1259916,11,61,15,1,5479,16,A95
69,74811,31,22,10,6,3652,10,A95
70,1544264,21,44,15,6,5479,16,A95
71,743104,11,51,5,6,1827,6,A95
72,436868,35,28,5,6,1826,5,A95
73,436868,35,39,5,6,1827,6,A95
74,1632672,31,31,10,6,3652,10,A95
75,390233,21,28,20,1,20089,56,A95
76,144569,11,20,10,6,3653,11,A95
77,144569,11,14,10,6,3653,11,A95
78,1102761,37,42,5,6,1826,5,A95
79,1102761,37,57,5,6,1826,5,A95
80,191383,38,21,10,6,3652,10,A95
81,1874683,23,41,10,6,3653,11,A95
82,53306,11,56,10,1,3652,10,A95
83,1687317,31,28,5,3,1826,5,A95
84,1459951,23,37,5,6,1826,5,A95
85,1035727,31,35,10,3,3653,11,A95
86,736877,34,32,5,5,3652,10,A95
87,581226,11,25,5,1,3652,10,A95
88,581226,11,16,5,1,1826,5,A95
89,750989,36,56,5,3,1827,6,A95
90,1217901,24,29,10,3,3653,11,A95
91,1011795,11,25,10,6,3652,10,A95
92,1496899,11,64,10,1,3653,11,A95
93,138782,31,12,5,1,3653,11,A95
94,138782,31,8,5,1,1826,5,A95
95,504037,38,20,15,1,5479,16,A95
96,1415273,31,69,5,1,3653,11,A95
97,1415273,31,35,5,1,1826,5,A95
98,1161638,26,35,5,6,1826,5,A95
99,296229,32,26,5,6,1826,5,A95
100,630003,11,35,10,6,3652,10,A95
101,630003,11,17,10,6,3652,10,A95
102,630003,11,51,10,6,3652,10,A95
103,841325,31,19,10,3,3653,11,A95
104,1237000,31,41,10,6,3652,10,A95
105,1237000,31,44,10,6,3652,10,A95
