PRODUCT_RATE_PK,PRODUCT_CODE,AGE,GENDER,RATE,PY,GY,SD,MR,COMPANY_INDEX,PRODUCT_INDEX,CNT_INDEX,HIT,SUM_PGA_HIT,SUM_A_HIT,HIT_INDEX,USER_INDEX,TOTAL_INDEX
1,E10001,20,1,15035,10,10,90,200000,85.02,39.08,0,1,2,176,1.14,0.11,47.9
2,E10001,20,2,17072,10,10,90,200000,85.02,38.87,2.55,1,2,176,1.14,2.41,48.18
3,E10001,25,1,16587,10,10,90,200000,85.02,39.08,0,1,2,176,1.14,0.11,47.9
4,E10001,25,2,17945,10,10,90,200000,85.02,38.87,0,1,2,176,1.14,0.11,47.79
5,E10001,30,1,16684,10,10,90,200000,85.02,38.98,0,1,2,176,1.14,0.11,47.85
6,E10001,30,2,17654,10,10,90,200000,85.02,38.86,14.29,1,2,176,1.14,12.98,49.93
7,E10001,35,1,16490,10,10,90,200000,85.02,38.98,3.62,1,2,176,1.14,3.37,48.39
8,E10001,35,2,17654,10,10,90,200000,85.02,38.86,0,1,2,176,1.14,0.11,47.79
9,E10001,40,1,16684,10,10,90,200000,85.02,38.92,2.15,1,2,176,1.14,2.05,48.14
10,E10001,40,2,17557,10,10,90,200000,85.02,38.81,0,1,2,176,1.14,0.11,47.76
11,E10001,45,1,17557,10,10,90,200000,85.02,38.92,23.66,1,2,176,1.14,21.41,51.37
12,E10001,45,2,18624,10,10,90,200000,85.02,38.81,6.79,1,2,176,1.14,6.23,48.78
13,E10001,50,1,18721,10,10,90,200000,85.02,38.74,7.97,1,1,162,0.62,7.24,48.92
14,E10001,50,2,20855,10,10,90,200000,85.02,38.55,22.57,1,1,162,0.62,20.38,51.01
15,E10002,20,1,20564,10,10,90,200000,85.02,50.44,0,1,2,176,1.14,0.11,53.58
16,E10002,20,2,22892,10,10,90,200000,85.02,49.92,12.76,1,2,176,1.14,11.6,55.23
17,E10002,25,1,24929,10,10,90,200000,85.02,50.44,2.86,1,2,176,1.14,2.69,54.01
18,E10002,25,2,25123,10,10,90,200000,85.02,49.92,7.65,1,2,176,1.14,7,54.47
19,E10002,30,1,28130,10,10,90,200000,85.02,48.05,32.66,1,2,176,1.14,29.51,57.28
