USER_CODE,BTH_YR,GENDER,AGE
537789,1973,2,49
1386093,2000,2,22
210105,1989,2,33
1195073,1979,2,43
1769251,1970,1,52
1669008,1962,2,60
559590,1987,2,35
1102289,1996,2,26
896163,1983,2,39
1431575,1993,2,29
1038574,1961,1,61
1675273,1982,2,40
151477,1968,2,54
1082263,1988,1,34
1587068,1979,1,43
38551,1983,2,39
1938807,1981,2,41
59181,1970,1,52
1226855,1991,2,31
1109320,1981,1,41
1504291,1992,2,30
135790,1971,1,51
1548304,1987,1,35
1142230,1987,1,35
1673066,1987,1,35
24968,1993,1,29
1867744,1992,2,30
1458719,1979,1,43
513446,1959,2,63
1370285,1967,2,55
402436,1972,1,50
1526666,1990,2,32
1852155,1976,2,46
251515,1988,2,34
1856797,2002,1,20
1677296,1994,1,28
1795517,1983,1,39
1277633,1993,1,29
919142,1971,2,51
1811607,2000,2,22
370509,1979,1,43
1767961,1968,2,54
429683,1964,2,58
1789749,2007,2,15
760046,1996,1,26
1259916,1980,2,42
74811,1980,2,42
1544264,1965,1,57
743104,1967,2,55
436868,1968,1,54
1632672,1967,2,55
390233,1992,1,30
144569,1991,2,31
1102761,1975,1,47
191383,1976,2,46
1874683,1998,2,24
53306,1997,2,25
1687317,1979,2,43
1459951,1973,2,49
1035727,1992,1,30
736877,1963,2,59
581226,1969,2,53
750989,1977,2,45
1217901,1976,1,46
1011795,1974,1,48
1496899,1964,1,58
138782,1988,1,34
504037,2010,2,12
1415273,1962,1,60
1161638,1976,1,46
296229,1999,1,23
630003,1995,2,27
841325,1990,2,32
1237000,1961,1,61
228356,1974,1,48
1860257,1982,2,40
1768637,1990,1,32
1912275,1996,2,26
1932216,1977,2,45
1915453,1965,2,57
783858,1973,2,49
547768,1983,1,39
1828523,1977,2,45
1296787,1967,2,55
1184921,1985,1,37
866728,1992,2,30
107413,1985,2,37
380491,1982,1,40
1393520,1989,2,33
1012043,1976,1,46
1249432,1996,1,26
918000,1970,1,52
365768,1957,1,65
8322,1963,1,59
1776866,1964,2,58
1140817,1994,1,28
841560,1962,1,60
1601180,1993,1,29
1800305,1984,1,38
812390,1978,1,44
1339423,1969,2,53
1892481,1963,1,59
1200529,1979,2,43
1033807,1966,1,56
295040,1986,2,36
1830514,1999,1,23
1542038,1997,1,25
730768,1970,1,52
1062917,1989,1,33
1394262,1991,1,31
1382221,1979,1,43
1451349,1957,1,65
1195168,1993,2,29
1889463,1992,1,30
1548320,1970,1,52
1466624,1979,1,43
1258914,1982,2,40
35068,1979,1,43
1391405,1976,1,46
1099288,1997,1,25
